accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
1728,Chandigarh,Punjab,30.780343,76.881724,2023-12-10,10:00,10,Sunday,1,highway,6,0,rain,low,33,high,overspeeding,minor,3,1,1,None,0.8
1729,Pune,Maharashtra,18.691535,73.718326,2024-11-24,14:00,14,Sunday,1,rural,2,0,rain,medium,24,medium,poor road,major,1,1,0,None,0.25
1730,Bangalore,Karnataka,13.015905,77.672318,2024-09-18,0:00,0,Wednesday,0,urban,3,1,clear,high,24,low,overspeeding,minor,2,1,0,None,0.1
1731,Pune,Maharashtra,18.512052,73.812608,2023-09-19,1:00,1,Tuesday,0,rural,3,0,fog,low,40,low,overspeeding,major,5,2,0,None,0.45
1732,Delhi,Delhi,28.598019,77.140539,2024-01-11,2:00,2,Thursday,0,urban,2,0,fog,low,32,low,distraction,minor,5,3,0,None,0.45
1733,Hyderabad,Telangana,17.275883,78.253443,2023-05-29,23:00,23,Monday,0,rural,5,1,fog,low,23,high,overspeeding,minor,4,1,0,None,0.65
1734,Chennai,Tamil Nadu,13.064529,80.124595,2022-06-14,19:00,19,Tuesday,0,highway,1,0,fog,low,30,low,weather,minor,4,4,1,None,0.6
1735,Mumbai,Maharashtra,19.194631,72.758313,2024-03-12,11:00,11,Tuesday,0,highway,5,0,rain,medium,37,low,drunk driving,major,4,1,0,None,0.25
1736,Chennai,Tamil Nadu,13.056486,80.108545,2022-08-07,6:00,6,Sunday,1,highway,3,0,clear,high,38,medium,drunk driving,major,5,3,0,None,0.1
1737,Delhi,Delhi,28.760904,76.805314,2024-10-15,10:00,10,Tuesday,0,urban,1,0,fog,low,37,high,distraction,minor,4,0,1,None,0.8
1738,Kolkata,West Bengal,22.664854,88.260996,2024-01-11,12:00,12,Thursday,0,highway,5,0,clear,high,16,high,overspeeding,fatal,2,2,0,None,0.5
1739,Delhi,Delhi,28.429307,77.026695,2023-11-25,16:00,16,Saturday,1,urban,2,0,clear,high,33,low,drunk driving,fatal,3,3,0,None,0.3
1740,Bangalore,Karnataka,12.828241,77.742766,2024-12-24,14:00,14,Tuesday,0,highway,1,0,rain,low,21,medium,drunk driving,minor,4,2,0,None,0.45
1741,Mumbai,Maharashtra,19.295967,72.866663,2022-03-09,22:00,22,Wednesday,0,urban,1,0,fog,low,18,low,weather,major,1,1,0,None,0.45
1742,Hyderabad,Telangana,17.490986,78.387323,2023-05-23,3:00,3,Tuesday,0,rural,1,1,rain,low,28,medium,distraction,major,5,5,0,None,0.45
1743,Bangalore,Karnataka,13.145792,77.577918,2023-03-30,13:00,13,Thursday,0,urban,2,1,clear,high,40,high,poor road,fatal,3,3,0,None,0.5
1744,Mumbai,Maharashtra,18.94906,72.726928,2024-07-29,19:00,19,Monday,0,urban,3,1,rain,low,34,high,poor road,major,4,2,1,None,0.8
1745,Mumbai,Maharashtra,19.189894,72.922765,2022-06-25,18:00,18,Saturday,1,rural,2,1,fog,low,28,medium,weather,minor,5,5,1,None,0.6
1746,Mumbai,Maharashtra,19.017324,72.872838,2022-04-10,1:00,1,Sunday,1,highway,3,1,fog,low,38,low,poor road,minor,5,2,0,None,0.45
1747,Chandigarh,Punjab,30.662604,76.793407,2024-01-18,13:00,13,Thursday,0,urban,2,1,fog,low,27,medium,poor road,minor,3,3,0,None,0.45
1748,Delhi,Delhi,28.506853,77.158378,2024-09-23,11:00,11,Monday,0,urban,3,0,clear,high,38,low,overspeeding,minor,4,0,0,None,0.1
1749,Hyderabad,Telangana,17.536715,78.445376,2024-02-04,23:00,23,Sunday,1,rural,6,0,fog,low,31,medium,overspeeding,major,2,0,0,None,0.45
1750,Pune,Maharashtra,18.646771,73.869615,2023-06-20,19:00,19,Tuesday,0,rural,4,0,rain,low,30,medium,weather,fatal,5,5,1,None,0.8
1751,Pune,Maharashtra,18.553953,73.993066,2022-02-19,23:00,23,Saturday,1,urban,2,1,rain,low,24,high,weather,major,1,0,0,None,0.65
1752,Bangalore,Karnataka,12.990773,77.567592,2025-03-29,17:00,17,Saturday,1,highway,3,1,clear,high,16,high,distraction,minor,3,2,1,None,0.45
1753,Mumbai,Maharashtra,19.250054,72.717576,2024-04-21,13:00,13,Sunday,1,highway,2,0,rain,low,16,medium,distraction,fatal,2,2,0,None,0.65
1754,Delhi,Delhi,28.836113,77.040472,2023-04-04,6:00,6,Tuesday,0,rural,5,0,clear,high,20,medium,drunk driving,minor,2,2,0,None,0.1
1755,Delhi,Delhi,28.66929,76.9027,2023-09-25,5:00,5,Monday,0,urban,5,1,rain,medium,23,high,weather,major,1,0,0,None,0.45
1756,Delhi,Delhi,28.442905,77.171179,2022-05-15,7:00,7,Sunday,1,urban,1,1,fog,low,40,medium,overspeeding,fatal,3,3,0,None,0.65
1757,Kolkata,West Bengal,22.457708,88.204325,2023-05-15,0:00,0,Monday,0,urban,1,0,rain,medium,27,low,drunk driving,fatal,4,4,0,None,0.45
1758,Bangalore,Karnataka,13.003207,77.452938,2025-01-14,20:00,20,Tuesday,0,rural,5,0,fog,low,32,low,drunk driving,major,2,2,0,None,0.45
1759,Kolkata,West Bengal,22.582181,88.374677,2024-01-01,5:00,5,Monday,0,highway,3,0,clear,high,15,low,weather,minor,5,0,0,None,0.1
1760,Kolkata,West Bengal,22.413804,88.204001,2023-04-06,11:00,11,Thursday,0,urban,1,1,clear,high,29,low,drunk driving,major,4,1,0,None,0.1
1761,Delhi,Delhi,28.553171,77.154221,2025-03-15,5:00,5,Saturday,1,rural,3,0,rain,medium,37,high,drunk driving,minor,1,1,0,None,0.45
1762,Delhi,Delhi,28.492385,77.18873,2023-06-26,23:00,23,Monday,0,rural,5,0,rain,medium,32,high,overspeeding,fatal,2,2,0,None,0.65
1763,Pune,Maharashtra,18.401588,73.913293,2022-11-27,3:00,3,Sunday,1,rural,6,1,clear,high,18,low,poor road,minor,4,4,0,None,0.1
1764,Delhi,Delhi,28.839313,76.836281,2024-10-15,21:00,21,Tuesday,0,urban,1,0,clear,high,23,high,drunk driving,minor,5,5,0,None,0.3
1765,Bangalore,Karnataka,13.177389,77.691824,2023-10-11,2:00,2,Wednesday,0,urban,5,0,clear,high,17,low,drunk driving,major,5,2,0,None,0.1
1766,Mumbai,Maharashtra,18.937501,72.745208,2023-08-26,3:00,3,Saturday,1,highway,5,1,fog,low,20,low,weather,major,2,2,0,None,0.45
1767,Chandigarh,Punjab,30.609731,76.724737,2024-08-29,1:00,1,Thursday,0,rural,4,1,rain,low,33,low,distraction,major,2,1,0,None,0.45
1768,Chandigarh,Punjab,30.704051,76.891741,2022-02-08,13:00,13,Tuesday,0,urban,4,0,clear,high,20,medium,weather,minor,4,3,0,None,0.1
1769,Bangalore,Karnataka,12.872204,77.622179,2025-02-02,2:00,2,Sunday,1,urban,2,1,rain,low,16,low,drunk driving,major,2,0,0,None,0.45
1770,Bangalore,Karnataka,12.861562,77.46636,2023-06-20,4:00,4,Tuesday,0,highway,5,1,clear,high,37,high,drunk driving,minor,1,0,0,None,0.3
1771,Kolkata,West Bengal,22.534993,88.313544,2022-04-10,19:00,19,Sunday,1,urban,1,1,clear,high,40,high,weather,fatal,5,5,1,None,0.65
1772,Delhi,Delhi,28.644433,77.153171,2024-12-19,16:00,16,Thursday,0,urban,3,0,rain,medium,19,low,poor road,major,2,0,0,None,0.25
1773,Hyderabad,Telangana,17.585938,78.382128,2024-03-18,0:00,0,Monday,0,urban,2,1,clear,high,35,low,poor road,major,3,3,0,None,0.1
1774,Bangalore,Karnataka,12.941383,77.415798,2022-03-31,3:00,3,Thursday,0,rural,1,0,rain,medium,17,low,poor road,minor,3,3,0,None,0.25
1775,Chandigarh,Punjab,30.642682,76.893661,2023-06-19,23:00,23,Monday,0,rural,6,0,fog,low,21,high,weather,minor,4,4,0,None,0.65
1776,Kolkata,West Bengal,22.587672,88.370645,2022-06-24,15:00,15,Friday,0,urban,2,1,clear,high,40,medium,weather,major,1,1,0,None,0.1
1777,Pune,Maharashtra,18.541523,73.929978,2024-12-02,12:00,12,Monday,0,highway,3,1,rain,medium,22,medium,drunk driving,minor,3,1,0,None,0.25
1778,Hyderabad,Telangana,17.245916,78.457443,2022-03-18,2:00,2,Friday,0,urban,3,1,rain,low,38,low,weather,major,5,0,0,None,0.45
1779,Pune,Maharashtra,18.419658,73.726711,2022-02-01,6:00,6,Tuesday,0,rural,4,0,clear,high,34,high,drunk driving,major,4,0,0,None,0.3
1780,Bangalore,Karnataka,13.023377,77.65737,2024-07-25,19:00,19,Thursday,0,urban,2,0,fog,low,17,high,weather,minor,5,4,1,None,0.8
1781,Hyderabad,Telangana,17.483446,78.375371,2025-02-13,11:00,11,Thursday,0,rural,2,0,fog,low,26,high,drunk driving,major,3,0,0,None,0.65
1782,Mumbai,Maharashtra,19.080412,72.990781,2024-10-11,11:00,11,Friday,0,rural,4,0,clear,high,27,medium,overspeeding,minor,2,1,0,None,0.1
1783,Kolkata,West Bengal,22.537315,88.436364,2023-11-13,1:00,1,Monday,0,urban,4,1,fog,low,36,medium,overspeeding,minor,5,4,0,None,0.45
1784,Chandigarh,Punjab,30.631657,76.754742,2022-09-16,4:00,4,Friday,0,highway,2,1,fog,low,33,low,distraction,minor,5,3,0,None,0.45
1785,Delhi,Delhi,28.824507,76.971272,2023-02-27,6:00,6,Monday,0,urban,6,0,clear,high,20,high,distraction,minor,5,1,0,None,0.3
1786,Chennai,Tamil Nadu,13.087733,80.105714,2023-01-15,11:00,11,Sunday,1,rural,5,1,rain,medium,16,low,overspeeding,minor,1,0,0,None,0.25
1787,Chennai,Tamil Nadu,12.800331,80.172707,2022-09-13,6:00,6,Tuesday,0,highway,1,1,clear,high,39,medium,weather,major,5,5,0,None,0.1
1788,Chennai,Tamil Nadu,12.993764,80.252691,2022-01-08,16:00,16,Saturday,1,urban,1,0,fog,low,16,medium,distraction,fatal,4,4,0,None,0.65
1789,Kolkata,West Bengal,22.67901,88.411153,2022-05-21,19:00,19,Saturday,1,urban,4,1,rain,medium,21,high,distraction,minor,4,4,1,None,0.6
1790,Chandigarh,Punjab,30.696061,76.85086,2024-04-16,22:00,22,Tuesday,0,urban,1,0,clear,high,27,medium,poor road,minor,2,2,0,None,0.1
1791,Chandigarh,Punjab,30.740362,76.818377,2022-09-05,8:00,8,Monday,0,rural,5,1,rain,low,15,medium,drunk driving,minor,3,3,1,None,0.6
1792,Kolkata,West Bengal,22.532279,88.495263,2025-03-18,22:00,22,Tuesday,0,rural,2,1,clear,high,22,low,drunk driving,minor,4,2,0,None,0.1
1793,Hyderabad,Telangana,17.305846,78.236043,2024-07-27,17:00,17,Saturday,1,urban,6,0,clear,high,27,medium,poor road,fatal,5,5,1,None,0.45
1794,Mumbai,Maharashtra,19.143699,72.841429,2023-03-20,2:00,2,Monday,0,highway,6,0,fog,low,36,low,distraction,fatal,3,3,0,None,0.65
1795,Pune,Maharashtra,18.581718,73.708553,2023-10-23,14:00,14,Monday,0,urban,2,0,clear,high,38,medium,weather,minor,5,1,0,None,0.1
1796,Bangalore,Karnataka,13.10672,77.779038,2023-07-14,6:00,6,Friday,0,rural,3,1,clear,high,35,medium,drunk driving,minor,3,2,0,None,0.1
1797,Hyderabad,Telangana,17.551162,78.441074,2022-09-29,15:00,15,Thursday,0,urban,2,1,fog,low,24,low,poor road,minor,2,2,0,None,0.45
1798,Chennai,Tamil Nadu,13.091225,80.155214,2023-04-13,0:00,0,Thursday,0,rural,2,0,clear,high,31,low,overspeeding,minor,5,0,0,None,0.1
1799,Kolkata,West Bengal,22.66085,88.264582,2023-01-23,6:00,6,Monday,0,highway,2,1,rain,medium,39,low,drunk driving,major,3,3,0,None,0.25
1800,Hyderabad,Telangana,17.513301,78.501359,2022-11-22,10:00,10,Tuesday,0,rural,4,1,fog,low,26,high,overspeeding,major,5,4,1,None,0.8
1801,Delhi,Delhi,28.757095,77.242579,2024-07-04,2:00,2,Thursday,0,highway,3,0,fog,low,34,medium,drunk driving,major,1,1,0,None,0.45
1802,Kolkata,West Bengal,22.556365,88.490168,2023-12-29,6:00,6,Friday,0,highway,5,1,rain,low,24,low,overspeeding,major,3,3,0,None,0.45
1803,Pune,Maharashtra,18.621478,73.955777,2023-06-02,13:00,13,Friday,0,highway,2,1,rain,low,39,high,overspeeding,minor,3,2,0,None,0.65
1804,Bangalore,Karnataka,13.154641,77.483143,2023-03-06,6:00,6,Monday,0,rural,3,0,fog,low,23,high,overspeeding,minor,4,2,0,None,0.65
1805,Pune,Maharashtra,18.464794,73.773668,2023-01-08,22:00,22,Sunday,1,rural,1,1,rain,medium,31,medium,distraction,major,3,3,0,None,0.25
1806,Hyderabad,Telangana,17.49804,78.437039,2023-04-06,9:00,9,Thursday,0,rural,3,1,rain,medium,19,high,drunk driving,minor,1,1,1,None,0.6
1807,Mumbai,Maharashtra,19.244726,72.870697,2024-12-19,7:00,7,Thursday,0,urban,6,0,rain,low,17,low,poor road,fatal,3,3,0,None,0.65
1808,Mumbai,Maharashtra,18.843538,72.780003,2023-11-08,16:00,16,Wednesday,0,urban,5,1,clear,high,22,low,overspeeding,major,4,4,0,None,0.1
1809,Kolkata,West Bengal,22.581594,88.386157,2025-01-30,17:00,17,Thursday,0,urban,5,1,fog,low,25,high,poor road,major,4,2,1,None,0.8
1810,Pune,Maharashtra,18.616722,73.884585,2023-11-26,17:00,17,Sunday,1,rural,5,0,clear,high,33,medium,distraction,minor,1,0,1,None,0.25
1811,Hyderabad,Telangana,17.233663,78.285784,2023-01-02,17:00,17,Monday,0,highway,3,1,fog,low,40,medium,overspeeding,fatal,5,5,1,None,0.8
1812,Delhi,Delhi,28.894429,77.025516,2024-06-10,20:00,20,Monday,0,urban,5,1,rain,low,21,medium,weather,fatal,5,5,0,None,0.65
1813,Delhi,Delhi,28.744114,77.05639,2025-03-10,16:00,16,Monday,0,highway,3,0,clear,high,34,low,weather,major,3,0,0,None,0.1
1814,Kolkata,West Bengal,22.576134,88.29245,2023-09-14,16:00,16,Thursday,0,rural,3,0,rain,medium,16,high,distraction,minor,3,2,0,None,0.45
1815,Delhi,Delhi,28.586811,77.04014,2023-09-16,19:00,19,Saturday,1,urban,2,1,rain,low,30,medium,overspeeding,minor,2,1,1,None,0.6
1816,Bangalore,Karnataka,12.853215,77.79157,2024-03-04,13:00,13,Monday,0,rural,5,1,clear,high,26,medium,weather,major,1,1,0,None,0.1
1817,Pune,Maharashtra,18.614427,73.834231,2023-12-17,13:00,13,Sunday,1,highway,2,0,rain,low,34,high,weather,minor,5,3,0,None,0.65
1818,Kolkata,West Bengal,22.448957,88.226478,2022-04-20,18:00,18,Wednesday,0,rural,4,1,rain,medium,18,high,weather,major,1,1,1,None,0.6
1819,Hyderabad,Telangana,17.370544,78.551773,2024-07-01,18:00,18,Monday,0,rural,4,0,fog,low,35,low,distraction,minor,5,2,1,None,0.6
1820,Mumbai,Maharashtra,18.958157,72.886473,2024-11-14,16:00,16,Thursday,0,rural,4,0,clear,high,36,high,distraction,major,4,4,0,None,0.3
1821,Chandigarh,Punjab,30.636337,76.801568,2022-04-04,1:00,1,Monday,0,urban,6,1,rain,low,24,low,overspeeding,minor,3,0,0,None,0.45
1822,Pune,Maharashtra,18.54762,73.721965,2024-01-16,23:00,23,Tuesday,0,rural,1,1,clear,high,36,medium,drunk driving,minor,4,0,0,None,0.1
1823,Hyderabad,Telangana,17.471899,78.367469,2023-03-30,13:00,13,Thursday,0,rural,5,0,rain,medium,31,medium,drunk driving,major,4,1,0,None,0.25
1824,Chandigarh,Punjab,30.624738,76.783117,2024-01-19,6:00,6,Friday,0,rural,2,1,clear,high,29,low,distraction,minor,3,0,0,None,0.1
1825,Delhi,Delhi,28.62743,76.818431,2023-09-29,11:00,11,Friday,0,urban,5,0,rain,low,15,low,drunk driving,minor,2,1,0,None,0.45
1826,Mumbai,Maharashtra,18.914091,72.79282,2024-06-09,21:00,21,Sunday,1,rural,4,0,rain,medium,40,medium,weather,minor,5,1,0,None,0.25
1827,Delhi,Delhi,28.403075,76.871978,2022-03-10,7:00,7,Thursday,0,rural,5,0,rain,low,35,medium,poor road,minor,3,3,0,None,0.45
1828,Bangalore,Karnataka,12.845921,77.432519,2022-09-06,18:00,18,Tuesday,0,rural,4,0,rain,low,40,low,poor road,minor,4,1,1,None,0.6
1829,Chandigarh,Punjab,30.731501,76.849908,2023-02-13,22:00,22,Monday,0,urban,4,1,rain,low,40,medium,drunk driving,major,4,3,0,None,0.45
1830,Mumbai,Maharashtra,19.02615,72.752893,2024-12-24,16:00,16,Tuesday,0,rural,3,1,clear,high,30,low,poor road,fatal,1,1,0,None,0.3
1831,Chandigarh,Punjab,30.691238,76.790228,2022-08-20,6:00,6,Saturday,1,urban,2,0,clear,high,34,medium,overspeeding,major,1,0,0,None,0.1
1832,Chandigarh,Punjab,30.649162,76.706434,2024-07-10,9:00,9,Wednesday,0,urban,6,0,fog,low,18,high,distraction,minor,4,0,1,None,0.8
1833,Chennai,Tamil Nadu,13.130428,80.264176,2023-09-25,12:00,12,Monday,0,rural,5,0,clear,high,28,high,weather,fatal,5,5,0,None,0.5
1834,Chandigarh,Punjab,30.647349,76.859653,2022-08-10,12:00,12,Wednesday,0,urban,1,0,rain,medium,15,low,poor road,minor,1,0,0,None,0.25
1835,Delhi,Delhi,28.488847,76.845118,2023-09-23,16:00,16,Saturday,1,rural,3,1,clear,high,28,medium,overspeeding,minor,5,0,0,None,0.1
1836,Delhi,Delhi,28.561032,76.841269,2024-11-18,5:00,5,Monday,0,highway,4,1,rain,low,21,medium,weather,minor,1,1,0,None,0.45
1837,Hyderabad,Telangana,17.566375,78.445457,2024-12-27,19:00,19,Friday,0,rural,3,0,rain,medium,17,high,overspeeding,minor,3,2,1,None,0.6
1838,Pune,Maharashtra,18.522477,73.753377,2023-06-24,13:00,13,Saturday,1,rural,2,1,rain,low,30,medium,weather,major,2,1,0,None,0.45
1839,Chandigarh,Punjab,30.740035,76.773428,2024-06-17,18:00,18,Monday,0,rural,4,0,rain,medium,28,medium,poor road,minor,4,4,1,None,0.4
1840,Chennai,Tamil Nadu,13.11856,80.221476,2023-02-17,11:00,11,Friday,0,rural,6,0,fog,low,24,medium,drunk driving,minor,5,4,0,None,0.45
1841,Chennai,Tamil Nadu,12.874258,80.213865,2024-11-08,12:00,12,Friday,0,urban,3,0,rain,low,19,medium,weather,minor,4,0,0,None,0.45
1842,Hyderabad,Telangana,17.532825,78.205245,2023-04-04,22:00,22,Tuesday,0,highway,3,1,rain,medium,31,low,distraction,minor,5,5,0,None,0.25
1843,Delhi,Delhi,28.74338,76.820689,2023-01-05,7:00,7,Thursday,0,rural,6,1,fog,low,28,high,distraction,minor,5,1,0,None,0.65
1844,Kolkata,West Bengal,22.565,88.444385,2025-02-21,16:00,16,Friday,0,rural,6,0,fog,low,28,medium,weather,minor,1,1,0,None,0.45
1845,Kolkata,West Bengal,22.534388,88.449037,2023-06-26,15:00,15,Monday,0,highway,5,1,fog,low,39,medium,drunk driving,major,2,1,0,None,0.45
1846,Pune,Maharashtra,18.403833,73.810456,2023-03-24,22:00,22,Friday,0,highway,4,0,rain,low,22,low,overspeeding,major,2,1,0,None,0.45
1847,Chennai,Tamil Nadu,12.984423,80.146295,2022-12-12,22:00,22,Monday,0,rural,2,0,fog,low,25,low,weather,minor,2,2,0,None,0.45
1848,Delhi,Delhi,28.736974,76.867217,2024-04-26,1:00,1,Friday,0,rural,1,0,fog,low,32,high,overspeeding,major,1,1,0,None,0.65
1849,Pune,Maharashtra,18.577175,73.744265,2022-07-04,20:00,20,Monday,0,highway,1,0,fog,low,40,high,poor road,minor,2,2,0,None,0.65
1850,Pune,Maharashtra,18.475709,73.92682,2022-09-25,12:00,12,Sunday,1,highway,5,1,rain,medium,32,medium,poor road,minor,3,3,0,None,0.25
1851,Chennai,Tamil Nadu,13.087965,80.181664,2022-05-16,11:00,11,Monday,0,highway,1,1,clear,high,28,low,weather,major,5,4,0,None,0.1
1852,Hyderabad,Telangana,17.534085,78.349686,2024-09-26,20:00,20,Thursday,0,urban,3,1,rain,low,40,high,overspeeding,major,2,2,0,None,0.65
1853,Chennai,Tamil Nadu,13.094486,80.278522,2023-02-03,18:00,18,Friday,0,rural,3,1,clear,high,32,high,weather,minor,4,3,1,None,0.45
1854,Delhi,Delhi,28.410655,77.056885,2024-08-08,16:00,16,Thursday,0,highway,3,1,clear,high,22,high,distraction,major,4,2,0,None,0.3
1855,Bangalore,Karnataka,13.066777,77.684146,2024-02-11,1:00,1,Sunday,1,urban,3,1,fog,low,23,high,weather,minor,4,4,0,None,0.65
1856,Delhi,Delhi,28.454322,77.196344,2023-10-29,23:00,23,Sunday,1,rural,6,0,rain,low,20,medium,weather,major,1,1,0,None,0.45
1857,Hyderabad,Telangana,17.276958,78.241256,2023-04-03,9:00,9,Monday,0,urban,1,1,fog,low,34,high,overspeeding,major,1,0,1,None,0.8
1858,Delhi,Delhi,28.670842,77.178892,2025-01-20,8:00,8,Monday,0,urban,2,1,clear,high,31,high,distraction,minor,1,0,1,None,0.45
1859,Mumbai,Maharashtra,19.179326,72.900609,2024-09-20,5:00,5,Friday,0,rural,6,1,rain,low,16,low,overspeeding,minor,3,3,0,None,0.45
1860,Kolkata,West Bengal,22.509471,88.366408,2024-02-06,2:00,2,Tuesday,0,highway,4,1,clear,high,38,low,poor road,minor,2,0,0,None,0.1
1861,Hyderabad,Telangana,17.4677,78.248911,2022-01-20,10:00,10,Thursday,0,urban,5,0,fog,low,37,medium,distraction,minor,4,3,1,None,0.6
1862,Bangalore,Karnataka,13.122319,77.407799,2024-04-05,10:00,10,Friday,0,urban,4,1,rain,medium,24,high,overspeeding,minor,5,0,1,None,0.6
1863,Hyderabad,Telangana,17.383219,78.219605,2023-06-06,1:00,1,Tuesday,0,rural,2,1,fog,low,38,medium,drunk driving,minor,1,0,0,None,0.45
1864,Mumbai,Maharashtra,18.951444,72.883966,2023-04-15,7:00,7,Saturday,1,highway,5,0,fog,low,31,high,poor road,major,4,1,0,None,0.65
1865,Chennai,Tamil Nadu,13.159472,80.18306,2023-09-16,10:00,10,Saturday,1,urban,3,1,clear,high,27,high,distraction,fatal,2,2,1,None,0.65
1866,Mumbai,Maharashtra,18.877163,72.759247,2023-10-12,19:00,19,Thursday,0,urban,6,0,rain,medium,28,high,poor road,minor,2,0,1,None,0.6
1867,Mumbai,Maharashtra,18.901212,72.848657,2024-04-18,0:00,0,Thursday,0,rural,3,0,fog,low,27,low,drunk driving,minor,1,1,0,None,0.45
1868,Delhi,Delhi,28.752709,77.126376,2024-11-04,6:00,6,Monday,0,highway,2,1,rain,low,22,high,drunk driving,minor,3,1,0,None,0.65
1869,Chennai,Tamil Nadu,13.184877,80.180381,2022-01-11,23:00,23,Tuesday,0,rural,4,1,fog,low,32,high,distraction,major,4,0,0,None,0.65
1870,Mumbai,Maharashtra,19.255397,72.771853,2024-02-29,23:00,23,Thursday,0,urban,5,1,rain,low,16,high,drunk driving,major,5,0,0,None,0.65
1871,Kolkata,West Bengal,22.409028,88.428215,2022-04-28,10:00,10,Thursday,0,rural,1,0,fog,low,28,high,weather,minor,1,0,1,None,0.8
1872,Kolkata,West Bengal,22.477527,88.342295,2024-06-24,14:00,14,Monday,0,urban,3,1,clear,high,23,low,poor road,minor,5,2,0,None,0.1
1873,Mumbai,Maharashtra,19.261016,72.930206,2022-06-16,15:00,15,Thursday,0,urban,2,0,fog,low,40,high,poor road,major,5,0,0,None,0.65
1874,Mumbai,Maharashtra,19.031067,72.708247,2025-03-10,0:00,0,Monday,0,urban,1,1,rain,medium,27,low,weather,fatal,4,4,0,None,0.45
1875,Mumbai,Maharashtra,19.113618,72.746258,2022-11-14,10:00,10,Monday,0,rural,5,0,fog,low,29,high,overspeeding,minor,1,1,1,None,0.8
1876,Kolkata,West Bengal,22.524511,88.322611,2023-11-11,21:00,21,Saturday,1,urban,1,0,fog,low,23,medium,distraction,major,2,0,0,None,0.45
1877,Pune,Maharashtra,18.518825,73.901484,2024-01-23,10:00,10,Tuesday,0,urban,5,0,clear,high,17,medium,overspeeding,minor,2,1,1,None,0.25
1878,Kolkata,West Bengal,22.621297,88.313108,2024-03-08,23:00,23,Friday,0,urban,3,0,clear,high,27,low,overspeeding,major,4,3,0,None,0.1
1879,Chandigarh,Punjab,30.679102,76.899287,2023-08-01,23:00,23,Tuesday,0,rural,5,0,rain,low,35,high,drunk driving,major,1,1,0,None,0.65
1880,Chandigarh,Punjab,30.611009,76.809222,2023-04-07,19:00,19,Friday,0,rural,6,0,clear,high,17,high,distraction,minor,3,3,1,None,0.45
1881,Mumbai,Maharashtra,18.941008,72.786179,2024-04-20,7:00,7,Saturday,1,highway,4,1,clear,high,33,low,distraction,fatal,1,1,0,None,0.3
1882,Bangalore,Karnataka,12.900394,77.778303,2023-07-15,4:00,4,Saturday,1,highway,2,0,rain,medium,33,low,distraction,fatal,5,5,0,None,0.45
1883,Mumbai,Maharashtra,19.036687,72.978662,2024-05-17,22:00,22,Friday,0,urban,6,0,fog,low,16,low,weather,minor,2,2,0,None,0.45
1884,Delhi,Delhi,28.560515,77.151387,2023-07-10,12:00,12,Monday,0,highway,3,1,clear,high,16,high,poor road,minor,1,0,0,None,0.3
1885,Pune,Maharashtra,18.42072,73.904684,2023-10-24,2:00,2,Tuesday,0,rural,5,0,rain,medium,35,low,drunk driving,minor,1,1,0,None,0.25
1886,Pune,Maharashtra,18.422521,73.804008,2024-10-28,3:00,3,Monday,0,rural,5,0,fog,low,37,low,distraction,major,4,3,0,None,0.45
1887,Delhi,Delhi,28.793337,76.974346,2023-04-06,1:00,1,Thursday,0,highway,3,0,fog,low,16,low,overspeeding,minor,1,1,0,None,0.45
1888,Chennai,Tamil Nadu,12.831183,80.13847,2023-08-03,9:00,9,Thursday,0,rural,5,0,clear,high,20,high,distraction,minor,5,1,1,None,0.45
1889,Mumbai,Maharashtra,19.004417,72.989302,2022-09-01,10:00,10,Thursday,0,urban,2,0,clear,high,38,medium,drunk driving,major,4,0,1,None,0.25
1890,Hyderabad,Telangana,17.431019,78.570902,2024-04-12,16:00,16,Friday,0,highway,5,1,clear,high,28,low,poor road,major,3,1,0,None,0.1
1891,Kolkata,West Bengal,22.684151,88.376374,2022-07-24,15:00,15,Sunday,1,rural,2,0,rain,medium,34,high,distraction,minor,4,3,0,None,0.45
1892,Bangalore,Karnataka,12.900053,77.599742,2024-10-01,1:00,1,Tuesday,0,rural,1,0,rain,low,33,low,drunk driving,minor,3,2,0,None,0.45
1893,Delhi,Delhi,28.465623,77.076124,2023-06-25,13:00,13,Sunday,1,highway,5,1,rain,medium,20,low,overspeeding,minor,1,0,0,None,0.25
1894,Chennai,Tamil Nadu,12.915393,80.1335,2023-12-15,4:00,4,Friday,0,rural,1,1,fog,low,32,low,poor road,fatal,4,4,0,None,0.65
1895,Chennai,Tamil Nadu,13.178928,80.253025,2022-12-11,16:00,16,Sunday,1,highway,2,1,fog,low,32,medium,weather,major,5,4,0,None,0.45
1896,Bangalore,Karnataka,12.971636,77.601315,2023-05-12,13:00,13,Friday,0,urban,5,0,rain,low,18,high,poor road,major,2,0,0,None,0.65
1897,Chandigarh,Punjab,30.705862,76.710205,2024-08-22,23:00,23,Thursday,0,rural,5,1,clear,high,20,low,drunk driving,minor,2,2,0,None,0.1
1898,Kolkata,West Bengal,22.635705,88.447946,2023-12-05,22:00,22,Tuesday,0,highway,6,1,clear,high,30,medium,weather,major,2,2,0,None,0.1
1899,Chandigarh,Punjab,30.773879,76.83724,2024-12-24,20:00,20,Tuesday,0,rural,1,0,rain,low,23,low,overspeeding,fatal,4,4,0,None,0.65
